Artist ID,Name,Nationality,Gender,Birth Year,Death Year
469,Luis Fernando Benedit,Argentine,Male,1937.0,2011.0
470,G. A. Beneker,American,Male,1882.0,1934.0
471,Lynda Benglis,American,Female,1941.0,Unknown
472,Billy Al Bengston,American,Male,1934.0,Unknown
473,Jim Bengston,American,Male,1942.0,Unknown
474,Anthony Benjamin,British,Male,Unknown,Unknown
475,Gordon Bennett,American,Male,1933.0,2012.0
476,Henry Hamilton Bennett,American,Male,1843.0,1908.0
478,Ward Bennett,American,Male,1917.0,2003.0
479,Alexander Benois,Russian,Male,1870.0,1960.0
481,David Bentley,American,Male,1938.0,Unknown
482,Nicholas Bentley,British,Male,1907.0,1978.0
483,Thomas Hart Benton,American,Male,1889.0,1975.0
484,Roloff Beny,Canadian,Male,1924.0,1984.0
485,Etienne (Istvan) Béothy,Hungarian,Male,1897.0,1962.0
486,Christian Bérard,French,Male,1902.0,1949.0
487,Roberto Berdecio,Bolivian,Male,1913.0,1996.0
488,Vera Berdich,American,Female,1915.0,2003.0
489,Ed Bereal,American,Male,1937.0,Unknown
490,Stephen Lynn Berens,American,Male,1952.0,Unknown
491,Berger (?),British,Gender unknown,1938.0,Unknown
492,Charles Berger,American,Male,1943.0,Unknown
493,Jason Berger,American,Male,1924.0,2010.0
495,Hagbard Elis Bergh,Swedish,Male,1881.0,1954.0
496,Håkan Bergkvist,Swedish,Male,1946.0,Unknown
497,Ella Bergmann-Michel,German,Female,1896.0,1971.0
498,Paul Bergtold,Nationality unknown,Male,Unknown,Unknown
501,Henryk Berlewi,Polish,Male,1894.0,1967.0
502,Eugene Berman,American,Male,1899.0,1972.0
503,Mieczyslaw Berman,Polish,Male,1903.0,1975.0
504,Sarah Berman,American,Female,1895.0,1957.0
505,Wallace Berman,American,Male,1926.0,1976.0
506,Zeke Berman,American,Male,1951.0,Unknown
507,Cundo Bermúdez,Cuban,Male,1914.0,2008.0
508,José Ygnacio Bermudez,Cuban,Male,1922.0,1988.0
509,Thoni Bern,Swiss,Gender unknown,Unknown,Unknown
510,Camille Bernabé,French,Male,1808.0,1900.0
511,Émile Bernard,French,Male,1868.0,1941.0
512,Francis Bernard,French,Male,1900.0,1979.0
513,Valère Bernard,French,Male,1860.0,1936.0
514,Jerry Berndt,American,Male,1943.0,2013.0
515,Lucian Bernhard,American,Male,1883.0,1972.0
516,Ruth Bernhard,American,Female,1905.0,2006.0
517,Antonio Berni,Argentine,Male,1905.0,1981.0
518,Janez Bernik,Yugoslav,Male,1933.0,Unknown
519,Judith Bernstein,American,Female,1942.0,Unknown
520,Richard Bernstein,American,Male,1939.0,2002.0
521,Jean Berque,French,Male,1896.0,1954.0
522,Miguel Ortiz Berrocal,Spanish,Male,1933.0,2006.0
523,Bertall & Cie.,French,Gender unknown,Unknown,Unknown
524,M. Berthaud,French,Gender unknown,Unknown,Unknown
525,Palme Berthold,Nationality unknown,Gender unknown,Unknown,Unknown
526,Berthold-Mahn (Charles Désiré),French,Male,1893.0,1975.0
527,René Bertholo,Portuguese,Male,1935.0,2005.0
528,Paul Berthon,French,Male,1872.0,1909.0
529,Jake Berthot,American,Male,1939.0,2014.0
530,Gianni Bertini,Italian,Male,1922.0,Unknown
531,Harry Bertoia,American,Male,1915.0,1978.0
532,Emilio Bertonati,Italian,Male,Unknown,Unknown
533,Albert Besnard,French,Male,1849.0,1934.0
534,Forrest Bess,American,Male,1911.0,1977.0
535,Ruth Bessoudo Courvoisier,Brazilian,Female,Unknown,Unknown
536,Alan Randall Best,Canadian,Male,1958.0,Unknown
537,William Betsch,American,Male,Unknown,Unknown
538,Pierre Betz,French,Male,1899.0,1969.0
539,Wim Beuning,Dutch,Male,1914.0,1986.0
540,Joseph Beuys,German,Male,1921.0,1986.0
541,Art Bevacqua,Nationality unknown,Male,Unknown,Unknown
542,Thomas Bewick,British,Male,1753.0,1828.0
544,Jyoti Bhatt,Indian,Male,1934.0,Unknown
545,Domenico Bianchi,Italian,Male,1955.0,Unknown
546,Pamela Bianco,American,Female,1906.0,1994.0
547,Fulvio Bianconi,Italian,Male,1915.0,1996.0
548,Carl Bianga,German,Male,Unknown,Unknown
549,Alberto Biasi,Italian,Male,1937.0,Unknown
550,Guido Biasi,Italian,Male,1933.0,Unknown
551,Ashley Bickerton,British,Male,1959.0,Unknown
553,George Biddle,American,Male,1885.0,1973.0
554,Charles Biederman,American,Male,1906.0,2004.0
555,James Biederman,American,Male,1947.0,Unknown
556,Aenne Biermann,German,Female,1898.0,1933.0
557,Wilson Bigaud,Haitian,Male,1931.0,2010.0
559,Max Bill,Swiss,Male,1908.0,1994.0
560,Joseph Binder,American,Male,1898.0,1972.0
561,Ilse Bing,American,Female,1899.0,1998.0
562,Robert J. Bingham,British,Male,1824.0,1870.0
563,Manfred Bingler,Swiss,Male,1928.0,Unknown
564,Peter Birkhauser,Swiss,Male,1911.0,1976.0
565,Robert Birmelin,American,Male,1933.0,Unknown
